player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Ja'Marr Chase,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,136.96,195.6,1747.07,14.01,327.13,1,11,
Justin Jefferson,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,110.81,169.07,1472.77,11.4,270.1,2,29,
CeeDee Lamb,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,4.43,22.5,0.17,112.89,165.5,1466.88,8.75,257.9,3,36,
Amon-Ra St. Brown,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,115.94,167.41,1326.1,10.66,254.12,4,38,
Puka Nacua,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,4.53,23.11,0.18,107.32,160.25,1359.08,8.36,242.78,5,42,
Brian Thomas Jr.,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,98.97,163.85,1437.03,8.14,242.03,6,43,
Drake London,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,102.21,161.17,1393.35,8.64,241.52,7,44,
Nico Collins,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,98.72,157.02,1369.09,8.58,237.41,8,46,
Malik Nabers,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,99.02,158.33,1404.92,7.08,231.8,9,48,
Tyreek Hill,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,4.68,24.68,0.18,103.25,151.74,1225.02,8.36,227.5,10,50,
Ladd McConkey,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,94.97,147.5,1305.87,8.36,227.21,11,51,
Mike Evans,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,88.2,140.98,1091.06,11.8,224.35,12,52,
A.J. Brown,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,92.39,145.01,1280.44,8.37,223.78,13,53,
Tee Higgins,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,94.71,146.69,1220.97,8.39,219.49,14,54,
Jaxon Smith-Njigba,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,103.62,159.33,1196.13,7.46,215.84,15,56,
Marvin Harrison Jr.,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,90.93,149.4,1174.48,7.74,208.67,16,61,
Terry McLaurin,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,92.06,137.41,1131.57,7.65,204.91,17,63,
Zay Flowers,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,5.52,28.12,0.22,79.98,122.48,1077.42,7.33,196.18,18,66,
D.K. Metcalf,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,75.25,131.28,1111.81,7.35,191.91,19,68,
Garrett Wilson,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,87.94,145.18,1041.54,6.47,185.48,20,73,
Davante Adams,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,83.02,139.86,979.41,7.58,185.27,21,74,
Courtland Sutton,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,77.35,132.34,1022.97,7.37,183.83,22,75,
DeVonta Smith,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,82.76,119.99,995.24,6.12,176.94,23,78,
Jerry Jeudy,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,79.32,124.17,1116.2,4,175.62,24,79,
D.J. Moore,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,9.16,47.89,0.34,87.13,135.2,909,5.42,173.13,25,80,
Calvin Ridley,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,73.07,128.19,1018.31,5.87,172.85,26,82,
Xavier Worthy,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,77.65,123.34,946.4,6.44,172.03,27,84,
Deebo Samuel,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,10.07,52.17,0.58,72.71,109.94,928.31,5.74,170.96,28,85,
Jakobi Meyers,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,81.36,124.1,994.08,4.45,166.17,29,87,
Stefon Diggs,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,82.37,128.07,918.77,5.44,165.02,30,89,
George Pickens,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,71.61,126.38,1012.81,4.7,164.19,31,91,
Chris Olave,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,79.61,130.87,900.68,5.83,163.85,32,92,
Marvin Mims,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,68,106.44,915.63,6.4,162.94,33,93,
Jameson Williams,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,4.89,25.17,0.2,57.11,96.93,887.13,6.14,157.49,34,96,
Cooper Kupp,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,73.76,113.79,829.97,6.36,157.36,35,97,
Jauan Jennings,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,9.67,48.87,0.36,63.59,105.65,819.04,6.07,156.15,36,99,
Rashid Shaheed,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,4.81,24.6,0.19,65.35,109.04,889.39,5.29,155.93,37,100,
Keon Coleman,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,60.86,102.43,895.62,5.93,155.53,38,101,
Tyler Lockett,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,71.93,106.84,866.52,5.3,154.08,39,102,
Michael Pittman Jr.,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,81.4,128.6,868.08,4.48,153.37,40,103,
Jaylen Waddle,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,73.85,110.87,872.75,4.85,153.3,41,104,
Travis Hunter,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,9,45.88,0.33,68.87,113.86,847.61,4.6,153.02,42,105,
Matthew Golden,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,64.07,109.84,817.66,6.34,151.5,43,106,
Jayden Reed,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,62.47,98.87,830.03,6.4,151.24,44,107,
Khalil Shakir,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,65.39,99.65,792.27,5.55,144.54,45,114,
Tetairoa McMillan,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,63.63,102.88,814.26,4.78,141.58,46,116,
Rome Odunze,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,65.78,112.68,812.78,4.62,141.21,47,117,
Jordan Addison,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,59.39,98.42,728.74,6.1,139.17,48,120,
Rashee Rice,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,60.68,89.25,764.02,4.67,134.14,49,124,
Chris Godwin,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,63.14,90.02,717.41,4.93,132.11,50,126,
Josh Downs,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,68.39,107.16,692.8,4.32,129.4,51,127,
Xavier Legette,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,4.6,23.15,0.17,61.89,108.27,697.04,3.37,123.86,52,131,
Marquise Brown,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,56.79,98.75,659.35,4.96,123.31,53,132,
Ricky Pearsall,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,9.67,49.18,0.36,46.9,80.01,617.25,4.47,118.93,54,135,
Cedric Tillman,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,54.54,88.68,690.48,3.3,115.78,55,138,
Rashod Bateman,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.61,72.95,631.76,4.88,114.76,56,140,
Emeka Egbuka,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,50.61,76.55,590.62,4.33,110.09,57,142,
Adam Thielen,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,54.83,83.91,608.84,3.35,108.06,58,144,
Ray-Ray McCloud,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,5.11,26.99,0.19,52.09,81.95,607.63,3.57,107.21,59,146,
Diontae Johnson,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,47.05,82.78,645.91,2.78,104.46,60,149,
