player,team,gameInfo,salary,value,pointsAllowed,yardsAllowed,sacks,interceptions,fumblesRecovered,touchdowns,fantasy,positionRank,opponentOffensiveRank
Denver D/ST,Denver Broncos,,N/A,N/A,357.9,5663.8,43.47,11.61,7.81,3.03,119.47,1,
Baltimore D/ST,Baltimore Ravens,,N/A,N/A,365.8,5896.4,42.26,12.23,8.27,2.99,118.4,2,
Buffalo D/ST,Buffalo Bills,,N/A,N/A,368.1,5841.5,40.91,12.15,8.49,2.95,116.05,3,
Philadelphia D/ST,Philadelphia Eagles,,N/A,N/A,364.7,5702.5,38.96,12.39,7.84,2.99,114.76,4,
Miami D/ST,Miami Dolphins,,N/A,N/A,385.6,5622.1,44.15,11.3,8.75,2.77,112.78,5,
Minnesota D/ST,Minnesota Vikings,,N/A,N/A,405,5823.5,46.68,11.16,8.36,2.7,109.49,6,
Tampa Bay D/ST,Tampa Bay Buccaneers,,N/A,N/A,392.5,5763.3,41.12,12.26,7.94,2.79,108.64,7,
Washington D/ST,Washington Commanders,,N/A,N/A,388.5,5971.1,38.04,12.05,7.79,2.8,105.97,8,
San Francisco D/ST,San Francisco 49ers,,N/A,N/A,370.5,5768.8,31.53,12.68,7.94,2.92,105.84,9,
Los Angeles Chargers D/ST,Los Angeles Chargers,,N/A,N/A,379,5832.4,35.5,11.98,7.88,2.84,105.72,10,
Detroit D/ST,Detroit Lions,,N/A,N/A,396.2,6053.7,37.54,12.08,8.27,2.76,104.81,11,
Houston D/ST,Houston Texans,,N/A,N/A,377.8,5823.5,33.42,12.06,7.5,2.82,103.36,12,
New England D/ST,New England Patriots,,N/A,N/A,386.6,5901.6,34.48,11.6,8.45,2.68,102.54,13,
Arizona D/ST,Arizona Cardinals,,N/A,N/A,399.3,5946.1,36,12.89,7.67,2.74,102.11,14,
Pittsburgh D/ST,Pittsburgh Steelers,,N/A,N/A,392.7,5981.5,36.27,11.81,7.76,2.73,102.11,14,
Kansas City D/ST,Kansas City Chiefs,,N/A,N/A,391.2,5890.4,36.27,11.41,7.44,2.78,101.13,16,
Las Vegas D/ST,Las Vegas Raiders,,N/A,N/A,395.7,5790.4,38.11,11.03,7.84,2.66,100.99,17,
New Orleans D/ST,New Orleans Saints,,N/A,N/A,396.1,5947.2,33.31,12.37,8.62,2.7,100.47,18,
Green Bay D/ST,Green Bay Packers,,N/A,N/A,403,6008.5,36.32,11.7,8.2,2.73,100.44,19,
New York Giants D/ST,New York Giants,,N/A,N/A,404.6,5983.1,39.65,11.24,7.9,2.54,100.16,20,
Atlanta D/ST,Atlanta Falcons,,N/A,N/A,403.4,5797.5,34.34,12.87,8.24,2.67,100.01,21,
Seattle D/ST,Seattle Seahawks,,N/A,N/A,399.6,5872.3,34.81,11.9,8.31,2.71,99.86,22,
Jacksonville D/ST,Jacksonville Jaguars,,N/A,N/A,412.5,5943.8,39.04,11.78,7.82,2.48,98.39,23,
New York Jets D/ST,New York Jets,,N/A,N/A,390.8,5927.6,30.83,12.02,8.07,2.73,98.06,24,
Tennessee D/ST,Tennessee Titans,,N/A,N/A,385.2,5808.9,30.71,12.2,7.39,2.64,97.42,25,
Los Angeles Rams D/ST,Los Angeles Rams,,N/A,N/A,415,6045.1,35.96,12.26,7.82,2.58,96.52,26,
Indianapolis D/ST,Indianapolis Colts,,N/A,N/A,400.5,6042.2,32.48,12.14,7.8,2.64,96.45,27,
Dallas D/ST,Dallas Cowboys,,N/A,N/A,429,6025.6,39.34,11.01,8.53,2.38,94.35,28,
Cincinnati D/ST,Cincinnati Bengals,,N/A,N/A,431.2,6021.2,32.73,11.43,8.72,2.55,89.89,29,
Chicago D/ST,Chicago Bears,,N/A,N/A,416.7,6280.5,30.84,11.34,8.05,2.53,89.64,30,
Carolina D/ST,Carolina Panthers,,N/A,N/A,426.7,6097.6,29.54,12.45,8.24,2.37,87,31,
Cleveland D/ST,Cleveland Browns,,N/A,N/A,427.4,6110,31.75,10.81,8.48,2.38,86.41,32,
