player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Josh Allen,Buffalo Bills,,N/A,N/A,354.65/553.66,4161.18,28.95,12.68,124.41,655.9,11.17,0,0,0,0,397.44,1,1,
Lamar Jackson,Baltimore Ravens,,N/A,N/A,343.66/521.09,4108.7,34.72,9.56,121.21,722.06,4.12,0,0,0,0,385.99,2,2,
Jalen Hurts,Philadelphia Eagles,,N/A,N/A,337.99/499.99,3804.51,24.14,10.21,123.86,582.25,11.16,0,0,0,0,358.62,3,3,
Joe Burrow,Cincinnati Bengals,,N/A,N/A,445.66/652.04,4912.5,36.7,11.69,40.18,174.67,1.86,0,0,0,0,357.08,4,4,
Patrick Mahomes,Kansas City Chiefs,,N/A,N/A,413.04/614.88,4342.89,29.96,12.42,96.21,481.04,3.83,0,0,0,0,349.68,5,5,
Jayden Daniels,Washington Commanders,,N/A,N/A,372.38/549.65,4012.07,28.5,11.53,111.04,548.73,5.05,0,0,0,0,345.91,6,6,
Kyler Murray,Arizona Cardinals,,N/A,N/A,381.72/564.0,4031.32,26.15,11.84,96.42,526.67,6.11,0,0,0,0,335.44,7,7,
J.J. McCarthy,Minnesota Vikings,,N/A,N/A,384.51/596.38,4229.27,33.6,12.82,59.49,280.38,3.03,0,0,0,0,332.41,8,8,
Baker Mayfield,Tampa Bay Buccaneers,,N/A,N/A,399.72/579.89,4176.99,34.55,14.38,68.75,305.85,2.69,0,0,0,0,330.32,9,9,
Bo Nix,Denver Broncos,,N/A,N/A,376.09/575.37,3917.7,29.51,12.31,90.93,431.63,4.14,0,0,0,0,327.26,10,10,
Justin Herbert,Los Angeles Chargers,,N/A,N/A,373.27/567.32,4120.32,28.98,8.59,71.16,321.8,3.59,0,0,0,0,322.14,11,12,
Brock Purdy,San Francisco 49ers,,N/A,N/A,361.85/552.5,4352.67,29.65,12.76,57.25,262.63,2.47,0,0,0,0,317.33,12,13,
Jared Goff,Detroit Lions,,N/A,N/A,395.1/587.44,4499.99,34.33,11.06,19.52,74.69,0.84,0,0,0,0,315.83,13,14,
C.J. Stroud,Houston Texans,,N/A,N/A,374.81/580.96,4107.69,26.25,11.28,80.86,378.01,3.55,0,0,0,0,310.49,14,15,
Jordan Love,Green Bay Packers,,N/A,N/A,344.05/549.31,4024.3,31.43,12.19,50.79,235.25,2.45,0,0,0,0,307.59,15,16,
Justin Fields,New York Jets,,N/A,N/A,316.49/498.1,3259.14,21.49,12.1,122.35,645.79,5.18,0,0,0,0,292.48,16,21,
Caleb Williams,Chicago Bears,,N/A,N/A,357.45/563.31,3752.87,21.93,10.76,100.76,484.89,3.62,0,0,0,0,289.72,17,22,
Cameron Ward,Tennessee Titans,,N/A,N/A,350.94/534.28,3863.69,21.93,11.49,91.22,431.66,3.31,0,0,0,0,287.02,18,23,
Matthew Stafford,Los Angeles Rams,,N/A,N/A,383.32/582.89,4200.31,26.52,12.78,45.24,178,1.82,0,0,0,0,286.63,19,24,
Michael Penix Jr.,Atlanta Falcons,,N/A,N/A,342.0/535.59,3877.8,25.05,11.67,63.86,296.46,2.84,0,0,0,0,285.51,20,25,
