player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Ja'Marr Chase,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,136.99,195.62,1747.35,14.01,327.17,1,11,
Justin Jefferson,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,110.81,169.07,1472.77,11.4,270.1,2,29,
CeeDee Lamb,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,4.43,22.5,0.17,112.91,165.53,1467.19,8.75,257.94,3,36,
Amon-Ra St. Brown,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,115.94,167.41,1326.12,10.66,254.12,4,38,
Puka Nacua,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,4.53,23.11,0.18,107.34,160.29,1359.46,8.36,242.83,5,42,
Brian Thomas Jr.,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,98.99,163.88,1437.3,8.14,242.06,6,43,
Drake London,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,102.23,161.21,1393.67,8.64,241.56,7,44,
Nico Collins,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,98.73,157.05,1369.33,8.58,237.44,8,46,
Malik Nabers,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,99.02,158.33,1404.92,7.08,231.8,9,48,
Tyreek Hill,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,4.68,24.68,0.18,103.26,151.73,1225.09,8.36,227.51,10,50,
Ladd McConkey,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,94.97,147.5,1305.87,8.36,227.21,11,51,
Mike Evans,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,88.06,140.99,1089.71,11.79,224.08,12,52,
A.J. Brown,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,92.39,145.01,1280.44,8.37,223.78,13,53,
Tee Higgins,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,94.73,146.71,1221.17,8.39,219.52,14,54,
Jaxon Smith-Njigba,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,103.67,159.38,1196.56,7.46,215.91,15,56,
Marvin Harrison Jr.,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,90.94,149.41,1174.54,7.74,208.68,16,61,
